frcnn_box,frcnn_cls,mask,model,rpn_box,rpn_score,total,training,step,mode
0.05139713,0.050842848,0.06875492,0.1891505,0.015411905,0.0027436644,0.31159836,0.31159836,271000,train
0.051524423,0.05096751,0.07042903,0.1905939,0.014957339,0.0027156558,0.31274584,0.31274584,272000,train
0.04997954,0.049678482,0.06671983,0.18361267,0.01453308,0.0027017437,0.30545485,0.30545485,273000,train
0.049955074,0.049649816,0.065327905,0.18271534,0.015013081,0.002769457,0.30425695,0.30425695,274000,train
0.05051561,0.050074786,0.06698735,0.18504906,0.014776782,0.0026946517,0.30627096,0.30627096,275000,train
0.050333116,0.049814057,0.06956375,0.18739313,0.014959747,0.0027226014,0.30831388,0.30831388,276000,train
0.050907448,0.049752902,0.068043716,0.18625864,0.014817546,0.002737079,0.30689165,0.30689165,277000,train
0.05139464,0.049939822,0.067343004,0.1858761,0.014560391,0.0026381954,0.30621096,0.30621096,278000,train
0.050732553,0.04923348,0.06881878,0.18651801,0.014945005,0.0027882175,0.30655518,0.30655518,279000,train
0.05130959,0.049592994,0.069565274,0.18859391,0.01537442,0.00275171,0.30837032,0.30837032,280000,train
0.05141763,0.05056659,0.07010833,0.18996966,0.01511285,0.0027642513,0.30949634,0.30949634,281000,train
0.0507017,0.049381617,0.067005835,0.18485798,0.015042949,0.0027260098,0.30411643,0.30411643,282000,train
0.050689545,0.049169872,0.06651513,0.18465182,0.015537116,0.00274008,0.30360812,0.30360812,283000,train
0.049706202,0.04840481,0.06589464,0.18126534,0.01473625,0.0025234835,0.29992005,0.29992005,284000,train
0.049894348,0.048494447,0.066529736,0.18245576,0.014878001,0.002659252,0.30081308,0.30081308,285000,train
0.04928767,0.04830147,0.06588361,0.18004511,0.01403002,0.0025424017,0.2981094,0.2981094,286000,train
0.05047389,0.049663533,0.06545757,0.18347725,0.015138556,0.0027438207,0.30125538,0.30125538,287000,train
0.04975453,0.04940835,0.06850941,0.1858662,0.015568734,0.0026252035,0.30336398,0.30336398,288000,train
