frcnn_box,frcnn_cls,mask,model,rpn_box,rpn_score,total,training,step,mode
0.07962263,0.07559917,0.08639078,0.26603794,0.020058924,0.004366598,0.44734827,0.44734827,132000,train
0.077345505,0.073531434,0.085494004,0.25988424,0.01941177,0.004101641,0.44060132,0.44060132,133000,train
0.07752171,0.07436591,0.08511554,0.26008642,0.019011429,0.0040719244,0.4402057,0.4402057,134000,train
0.07777059,0.073018,0.08854171,0.26244032,0.019065116,0.004044963,0.44196847,0.44196847,135000,train
0.076275535,0.073173426,0.086265944,0.258858,0.019107798,0.004035158,0.43779394,0.43779394,136000,train
0.07745537,0.073528424,0.08504118,0.25959086,0.019417051,0.0041487436,0.43792987,0.43792987,137000,train
0.0778318,0.07497164,0.08268829,0.2588969,0.019325742,0.004079374,0.43664375,0.43664375,138000,train
0.07596419,0.07247484,0.08647033,0.25755382,0.018636545,0.004007666,0.43471766,0.43471766,139000,train
0.07614264,0.072948456,0.085335545,0.25784448,0.019362533,0.004055431,0.4344363,0.4344363,140000,train
0.07807116,0.07413578,0.083504885,0.25799048,0.018293755,0.003985017,0.4340162,0.4340162,141000,train
0.07825384,0.073385075,0.083698094,0.25835136,0.019062445,0.003952014,0.43379998,0.43379998,142000,train
0.07655282,0.072940156,0.083821334,0.25628152,0.018912688,0.004054275,0.4311666,0.4311666,143000,train
0.07620259,0.072529264,0.08308537,0.2550607,0.019198453,0.0040449016,0.42938527,0.42938527,144000,train
0.075817965,0.071550444,0.087502666,0.25783616,0.018989552,0.003975496,0.4316046,0.4316046,145000,train
0.07378019,0.07096246,0.08391358,0.25126404,0.018707354,0.0039004353,0.42447272,0.42447272,146000,train
0.07444053,0.07015817,0.08060623,0.24889776,0.019680647,0.004011963,0.42154038,0.42154038,147000,train
0.07523451,0.07172731,0.08418285,0.25445983,0.01931732,0.003997853,0.42654505,0.42654505,148000,train
0.073817015,0.07057551,0.08502917,0.25168413,0.018364782,0.003897533,0.4232256,0.4232256,149000,train
0.07486674,0.07054469,0.0853201,0.25300592,0.018387096,0.003887453,0.4239945,0.4239945,150000,train
0.07331657,0.06998515,0.08127592,0.24647678,0.018037634,0.003861662,0.41691703,0.41691703,151000,train
