,loss,accuracy,precision,recall,f1_score
0,0.030749455094337463,0.9925595238095238,0.992600785429239,0.9925595238095238,0.992560364643758
1,0.05225975438952446,0.9895833333333334,0.9896963864352519,0.9895833333333334,0.9895850642171753
2,6.309775199042633e-05,0.9940476190476191,0.9940476190476191,0.9940476190476191,0.9940476190476191
3,0.00041156887891702354,0.9955357142857143,0.9955762987012987,0.9955357142857143,0.9955361593701306
4,0.0211818628013134,0.9940476190476191,0.9941197691197691,0.9940476190476191,0.9940484631175215
5,0.0009191232966259122,0.9970238095238095,0.9970419018671299,0.9970238095238095,0.9970240205412851
6,0.0038379717152565718,0.9910714285714286,0.9912332757876564,0.9910714285714286,0.9910733277287092
7,8.760212222114205e-05,0.9925595238095238,0.9926715791738383,0.9925595238095238,0.9925605951761208
8,0.003134282538667321,0.9866071428571429,0.9868266654771078,0.9866071428571429,0.9866098427009673
9,0.0025507905520498753,0.9925595238095238,0.9926719177096821,0.9925595238095238,0.9925607601551251
10,0.00014024696429260075,0.9895833333333334,0.9898016467065868,0.9895833333333334,0.9895851099647148
11,0.00074979686178267,0.9866071428571429,0.9869658801020409,0.9866071428571429,0.9866095455464462
12,0.002781799528747797,0.9880952380952381,0.9882572306030847,0.9880952380952381,0.988097453484216
13,0.0006399579579010606,0.9895833333333334,0.9898016467065868,0.9895833333333334,0.9895851099647148
14,8.495084330206737e-05,0.9910714285714286,0.9912318220701454,0.9910714285714286,0.9910726151345973
15,0.059893906116485596,0.9940476190476191,0.9941195511437203,0.9940476190476191,0.9940483575106119
16,0.0005955494707450271,0.9895833333333334,0.9898016467065868,0.9895833333333334,0.9895851099647148
17,0.00010829138045664877,0.9925595238095238,0.9926719177096821,0.9925595238095238,0.9925607601551251
18,9.220468928106129e-05,0.9895833333333334,0.9898016467065868,0.9895833333333334,0.9895851099647148
19,0.0002505239099264145,0.9925595238095238,0.9926719177096821,0.9925595238095238,0.9925607601551251
