,loss,accuracy,precision,recall,f1_score
0,0.2284015143149226,0.43898809523809523,0.439239896321698,0.43898809523809523,0.4390663754488579
0,0.19166746452176497,0.4375,0.43799631310266596,0.4375,0.4375
0,0.17449016201715528,0.43898809523809523,0.43996067855622456,0.43898809523809523,0.43895952181126224
0,0.16403438236206344,0.43452380952380953,0.43452380952380953,0.43452380952380953,0.43452380952380953
0,0.1566220319283277,0.43154761904761907,0.428700603505291,0.43154761904761907,0.42875240899983214
0,0.14990230797502405,0.4270833333333333,0.4264805922368948,0.4270833333333333,0.4267056238138049
0,0.1401186469172895,0.42857142857142855,0.42893587297087993,0.42857142857142855,0.4286929444824181
0,0.13292344875923207,0.41517857142857145,0.4147051076173127,0.41517857142857145,0.41489694743245936
0,0.12352972764118074,0.4166666666666667,0.41657060518731986,0.4166666666666667,0.4166149508847831
0,0.11354796816966285,0.41220238095238093,0.40915161564549035,0.41220238095238093,0.4094373387884379
0,0.10917508751458674,0.41220238095238093,0.4086652028893165,0.41220238095238093,0.4085997067768279
0,0.10571752756773084,0.41517857142857145,0.4114718299512285,0.41517857142857145,0.41130994269629034
0,0.10054182444064895,0.43154761904761907,0.4238048953666744,0.43154761904761907,0.4219253782242064
0,0.09472757285357984,0.40922619047619047,0.39892139081099065,0.40922619047619047,0.3985466123633259
