box,cls,model,total,validation,step
0.0033139775,0.21656246,0.38226137,0.49109346,0.49109346,244200
0.0033728178,0.21205927,0.38070017,0.48934323,0.48934323,245200
0.003416642,0.20553681,0.3763689,0.4848201,0.4848201,246200
0.0033789352,0.20447372,0.3734205,0.48168218,0.48168218,247200
0.0035574934,0.21681094,0.3946856,0.50275874,0.50275874,248200
0.0034669512,0.21315315,0.3865007,0.4943835,0.4943835,249200
