box,cls,model,total,training,step,mode
0.010570647,1.4691151,1.9976472,6.2142925,6.2142925,1000,train
0.008336701,0.5218263,0.93866175,5.232838,5.232838,2000,train
0.0071116,0.45954257,0.81512284,4.2059193,4.2059193,3000,train
0.0062839207,0.4117599,0.7259561,3.4090664,3.4090664,4000,train
0.005629638,0.3724223,0.6539038,2.779314,2.779314,5000,train
0.0051569953,0.3443594,0.60220945,2.2908034,2.2908034,6000,train
0.0048625753,0.3284002,0.5715289,1.9161975,1.9161975,7000,train
0.0045480523,0.31273234,0.5401351,1.614404,1.614404,8000,train
0.004560564,0.32028896,0.54831743,1.4138362,1.4138362,9000,train
0.004906022,0.3407118,0.5860134,1.3143631,1.3143631,10000,train
0.0044830833,0.30833757,0.5324918,1.1376066,1.1376066,11000,train
0.0044780197,0.31160125,0.5355021,1.0356256,1.0356256,12000,train
0.0046135103,0.31879535,0.54947126,0.9797771,0.9797771,13000,train
0.0044556702,0.30859065,0.5313742,0.9136902,0.9136902,14000,train
0.0043062563,0.29820874,0.51352185,1.0208464,1.0208464,15000,train
0.0035612867,0.26298687,0.4410513,0.894902,0.894902,16000,train
0.0033602393,0.25246596,0.42047784,0.86382073,0.86382073,17000,train
0.0032327091,0.24510784,0.40674308,0.839859,0.839859,18000,train
0.0031528326,0.24186206,0.39950377,0.8226793,0.8226793,19000,train
0.0031332385,0.2382132,0.39487532,0.80839646,0.80839646,20000,train
0.003057713,0.23429549,0.38718086,0.7953886,0.7953886,21000,train
0.0030207084,0.23326352,0.38429904,0.7915348,0.7915348,22000,train
0.0029865566,0.22920886,0.3785366,0.7848044,0.7848044,23000,train
0.002923899,0.22739562,0.3735902,0.77889276,0.77889276,24000,train
0.00294021,0.22798626,0.37499657,0.77933466,0.77933466,25000,train
0.0029845722,0.22783135,0.37706012,0.78043723,0.78043723,26000,train
0.0029132129,0.22597133,0.3716318,0.7740517,0.7740517,27000,train
0.0029449651,0.22669058,0.3739391,0.7754057,0.7754057,28000,train
0.002944762,0.2266278,0.37386596,0.77437866,0.77437866,29000,train
0.0029172404,0.22527796,0.37114,0.77070254,0.77070254,30000,train
0.0029108045,0.22509015,0.37063053,0.7692448,0.7692448,31000,train
0.0029130466,0.22465388,0.3703063,0.7679753,0.7679753,32000,train
0.0028795325,0.2232733,0.36725017,0.76397556,0.76397556,33000,train
0.0029171384,0.22334045,0.36919743,0.76498157,0.76498157,34000,train
0.0028793656,0.22369449,0.36766312,0.76250774,0.76250774,35000,train
0.002839754,0.22109953,0.3630874,0.7569956,0.7569956,36000,train
0.002833884,0.21993956,0.36163372,0.7546072,0.7546072,37000,train
0.0028708335,0.22161841,0.3651599,0.75719976,0.75719976,38000,train
0.002846367,0.22084011,0.36315835,0.7542663,0.7542663,39000,train
0.002870783,0.22167929,0.36521816,0.75539804,0.75539804,40000,train
0.0027857474,0.21811087,0.3573985,0.7466508,0.7466508,41000,train
0.0027951016,0.2167728,0.35652813,0.74485606,0.74485606,42000,train
0.0028006043,0.21863036,0.35866076,0.74606544,0.74606544,43000,train
0.0028475856,0.21974346,0.36212274,0.74860734,0.74860734,44000,train
0.0028182173,0.21771064,0.35862118,0.7441878,0.7441878,45000,train
0.002793412,0.217086,0.35675687,0.741406,0.741406,46000,train
0.0028083161,0.21692425,0.35733983,0.7410749,0.7410749,47000,train
0.0027773967,0.2162421,0.35511193,0.7379346,0.7379346,48000,train
0.0027811057,0.21537843,0.35443386,0.7363469,0.7363469,49000,train
0.002770952,0.21431412,0.3528617,0.73386794,0.73386794,50000,train
0.0027449226,0.21441224,0.35165828,0.7317597,0.7317597,51000,train
0.0027490964,0.21476687,0.35222185,0.7314219,0.7314219,52000,train
0.0027086302,0.21208535,0.34751716,0.7258177,0.7258177,53000,train
0.0027368225,0.21265103,0.34949204,0.7268961,0.7268961,54000,train
0.0027410602,0.21292548,0.3499785,0.72648835,0.72648835,55000,train
0.0027392593,0.21320915,0.35017207,0.72578925,0.72578925,56000,train
0.002759048,0.21301861,0.35097083,0.72569716,0.72569716,57000,train
0.0026901914,0.20970261,0.34421244,0.7180527,0.7180527,58000,train
0.0027022476,0.20978516,0.34489736,0.71785384,0.71785384,59000,train
0.0026977763,0.21056412,0.34545273,0.71752775,0.71752775,60000,train
0.0026808914,0.20955914,0.3436037,0.71480036,0.71480036,61000,train
0.0026716357,0.20895678,0.3425389,0.7128605,0.7128605,62000,train
0.0026749624,0.20758392,0.34133196,0.71078044,0.71078044,63000,train
0.0026248172,0.20569971,0.33694044,0.7055185,0.7055185,64000,train
0.0026599076,0.206581,0.3395763,0.70728475,0.70728475,65000,train
0.0026368336,0.207371,0.33921278,0.70605654,0.70605654,66000,train
0.0026050787,0.20469737,0.33495125,0.70093215,0.70093215,67000,train
0.0026242628,0.20492719,0.33614057,0.7012578,0.7012578,68000,train
0.0026434318,0.20530118,0.33747298,0.70173025,0.70173025,69000,train
0.0026010724,0.20417021,0.33422366,0.6976236,0.6976236,70000,train
0.0026410664,0.20482807,0.33688158,0.6994255,0.6994255,71000,train
0.0026057754,0.20326357,0.33355206,0.6952428,0.6952428,72000,train
0.0025894584,0.20207916,0.3315521,0.6923913,0.6923913,73000,train
0.0025549417,0.20113502,0.32888204,0.68887365,0.68887365,74000,train
0.0025809126,0.20225011,0.33129615,0.6904396,0.6904396,75000,train
0.0025742431,0.20228182,0.33099347,0.6892927,0.6892927,76000,train
0.0025808862,0.20109928,0.33014336,0.6876007,0.6876007,77000,train
0.0025690652,0.2013996,0.32985285,0.6864704,0.6864704,78000,train
0.0025449276,0.20006189,0.3273083,0.68308777,0.68308777,79000,train
0.0025514707,0.1987293,0.3263029,0.68124694,0.68124694,80000,train
0.0025278223,0.19907628,0.3254674,0.6795779,0.6795779,81000,train
0.0025417402,0.19907425,0.32616124,0.6794414,0.6794414,82000,train
0.002545156,0.19809596,0.32535347,0.6778052,0.6778052,83000,train
0.0025180744,0.197175,0.3230785,0.674704,0.674704,84000,train
0.0025001224,0.197312,0.32231778,0.6731196,0.6731196,85000,train
0.00252618,0.1979434,0.32425278,0.67423326,0.67423326,86000,train
0.0024765553,0.1950569,0.3188845,0.66804636,0.66804636,87000,train
0.0024985927,0.19596787,0.32089743,0.66924226,0.66924226,88000,train
0.0024726577,0.19459046,0.3182236,0.6657522,0.6657522,89000,train
0.0024737006,0.19502561,0.3187109,0.6654267,0.6654267,90000,train
0.0024423653,0.19276239,0.31488082,0.6607867,0.6607867,91000,train
0.0024785732,0.1939543,0.31788293,0.662979,0.662979,92000,train
0.0024352462,0.19206376,0.31382638,0.6581163,0.6581163,93000,train
0.0024663266,0.1937581,0.31707466,0.6605605,0.6605605,94000,train
0.0024330653,0.19152266,0.31317616,0.6558604,0.6558604,95000,train
0.0024158175,0.19079198,0.31158295,0.653467,0.653467,96000,train
0.002426145,0.19165678,0.3129638,0.65405214,0.65405214,97000,train
0.0024178291,0.19086602,0.3117573,0.65204996,0.65204996,98000,train
0.0024501283,0.19139446,0.3139008,0.65340143,0.65340143,99000,train
0.0023996208,0.18913698,0.30911806,0.64782923,0.64782923,100000,train
0.0024239179,0.18941642,0.3106127,0.6485356,0.6485356,101000,train
0.0023833108,0.18803084,0.3071965,0.6443343,0.6443343,102000,train
0.0023545339,0.18651871,0.30424505,0.64060074,0.64060074,103000,train
0.0023669084,0.1875248,0.30587038,0.64144504,0.64144504,104000,train
0.0024099525,0.18835263,0.30885038,0.6436472,0.6436472,105000,train
0.0023428218,0.1858159,0.302957,0.63697875,0.63697875,106000,train
0.0023223674,0.18551213,0.30163053,0.63487756,0.63487756,107000,train
