box,cls,model,total,training,step,mode,validation
0.008059352,0.36547744,0.768445,0.8982363,,39000,eval,0.8982363
0.002567024,0.19604912,0.3244006,0.45403987,0.45403987,40000,train,
0.00777024,0.3585637,0.7470757,0.8765629,,40000,eval,0.8765629
0.0025671122,0.19620883,0.32456467,0.45389968,0.45389968,41000,train,
0.008235554,0.3672115,0.7789892,0.90817326,,41000,eval,0.90817326
0.0026139356,0.19842143,0.3291183,0.45814988,0.45814988,42000,train,
0.007836016,0.36650681,0.7583076,0.8871881,,42000,eval,0.8871881
0.0025288323,0.19402389,0.32046515,0.4491954,0.4491954,43000,train,
0.008354339,0.3760038,0.7937207,0.92229956,,43000,eval,0.92229956
0.0025798716,0.19689979,0.32589343,0.45432135,0.45432135,44000,train,
0.0081214355,0.3676446,0.77371633,0.9019936,,44000,eval,0.9019936
0.0025538316,0.19514322,0.32283503,0.45096162,0.45096162,45000,train,
0.008107923,0.35731468,0.7627108,0.89068735,,45000,eval,0.89068735
0.0025665462,0.19500731,0.32333454,0.4511619,0.4511619,46000,train,
0.00804854,0.3643249,0.7667519,0.8944295,,46000,eval,0.8944295
0.0025446524,0.19390507,0.32113752,0.44866627,0.44866627,47000,train,
0.007816998,0.36171946,0.7525694,0.8799488,,47000,eval,0.8799488
0.0026249115,0.19744304,0.32868868,0.45591938,0.45591938,48000,train,
0.00803126,0.36203524,0.7635982,0.8906797,,48000,eval,0.8906797
0.0025854195,0.19607092,0.32534194,0.452275,0.452275,49000,train,
0.008518367,0.37073225,0.79665065,0.92343456,,49000,eval,0.92343456
0.0025554316,0.19458589,0.3223577,0.4489935,0.4489935,50000,train,
0.008048009,0.36265403,0.76505446,0.89154214,,50000,eval,0.89154214
0.0025003795,0.19178502,0.31680396,0.44314373,0.44314373,51000,train,
0.008011897,0.36058033,0.7611751,0.88736707,,51000,eval,0.88736707
0.0025924759,0.19584313,0.32546687,0.45151165,0.45151165,52000,train,
0.008377349,0.3710764,0.7899439,0.91584086,,52000,eval,0.91584086
0.0025108426,0.192641,0.31818324,0.44393364,0.44393364,53000,train,
0.007849945,0.3609556,0.7534529,0.8790559,,53000,eval,0.8790559
0.0025278716,0.1922134,0.31860694,0.44406408,0.44406408,54000,train,
0.008005385,0.36174482,0.76201403,0.88732487,,54000,eval,0.88732487
0.0024534476,0.18878314,0.3114555,0.43662,0.43662,55000,train,
0.008059675,0.3596956,0.76267934,0.8876976,,55000,eval,0.8876976
0.0025068242,0.19179118,0.31713238,0.44200525,0.44200525,56000,train,
0.007967934,0.35988757,0.7582843,0.8830113,,56000,eval,0.8830113
0.0026358452,0.19670805,0.32850006,0.45308197,0.45308197,57000,train,
0.008424554,0.3658209,0.7870487,0.9114846,,57000,eval,0.9114846
0.0024370358,0.18852006,0.3103719,0.4346633,0.4346633,58000,train,
0.0076108277,0.35255313,0.7330945,0.85724103,,58000,eval,0.85724103
0.0025368894,0.19328356,0.32012787,0.44412985,0.44412985,59000,train,
0.007878827,0.3628069,0.7567482,0.88060594,,59000,eval,0.88060594
0.0025566148,0.19265723,0.32048792,0.44420144,0.44420144,60000,train,
0.008157566,0.3544335,0.7623118,0.8858808,,60000,eval,0.8858808
0.0024387436,0.1878964,0.30983356,0.43325907,0.43325907,61000,train,
0.007854144,0.3492819,0.74198914,0.86527085,,61000,eval,0.86527085
0.0024607705,0.18932205,0.31236064,0.43549904,0.43549904,62000,train,
0.007767641,0.35350126,0.74188334,0.86487824,,62000,eval,0.86487824
0.002535776,0.19168925,0.31847787,0.44133005,0.44133005,63000,train,
0.0077510304,0.3581506,0.7457021,0.8684113,,63000,eval,0.8684113
0.0024624467,0.18838397,0.31150648,0.43407342,0.43407342,64000,train,
0.007930646,0.36040214,0.75693446,0.87935865,,64000,eval,0.87935865
0.00248844,0.19000219,0.31442404,0.4367059,0.4367059,65000,train,
0.007735166,0.35314128,0.73989964,0.86203927,,65000,eval,0.86203927
0.002441243,0.1877115,0.30977368,0.4317721,0.4317721,66000,train,
0.007955209,0.3521059,0.74986637,0.8717226,,66000,eval,0.8717226
0.0025192196,0.19118528,0.31714618,0.4388615,0.4388615,67000,train,
0.008172559,0.359635,0.7682629,0.8898368,,67000,eval,0.8898368
0.002438684,0.18656929,0.3085034,0.4299365,0.4299365,68000,train,
0.0080228085,0.35234395,0.75348437,0.8747765,,68000,eval,0.8747765
0.002406679,0.18490613,0.3052401,0.42639193,0.42639193,69000,train,
0.007715125,0.34819233,0.7339486,0.8549595,,69000,eval,0.8549595
0.0024881402,0.18850212,0.312909,0.43378013,0.43378013,70000,train,
0.0074518826,0.3483638,0.72095793,0.84168893,,70000,eval,0.84168893
0.002458323,0.18747859,0.31039464,0.43098596,0.43098596,71000,train,
0.008158088,0.35519403,0.7630984,0.8835494,,71000,eval,0.8835494
0.0024334507,0.18643205,0.30810493,0.42841637,0.42841637,72000,train,
0.007644769,0.34954715,0.73178554,0.8519576,,72000,eval,0.8519576
0.0024140154,0.18507616,0.30577677,0.42581034,0.42581034,73000,train,
0.007629178,0.34997767,0.7314366,0.85133094,,73000,eval,0.85133094
0.0024317035,0.18573396,0.30731905,0.42707503,0.42707503,74000,train,
0.007213613,0.34014973,0.70083046,0.82044744,,74000,eval,0.82044744
0.0024553754,0.18658412,0.30935282,0.42883226,0.42883226,75000,train,
0.0077559697,0.3477438,0.73554224,0.8548835,,75000,eval,0.8548835
0.0023936834,0.1835341,0.30321836,0.42242187,0.42242187,76000,train,
0.0078418795,0.3459406,0.7380346,0.8571001,,76000,eval,0.8571001
0.002424819,0.18434379,0.30558452,0.4245134,0.4245134,77000,train,
0.0075181727,0.3494184,0.725327,0.84411854,,77000,eval,0.84411854
0.0024576962,0.18709773,0.3099824,0.42863694,0.42863694,78000,train,
0.008031528,0.35363138,0.7552077,0.8737252,,78000,eval,0.8737252
0.0024704873,0.186131,0.30965546,0.42803615,0.42803615,79000,train,
0.007508772,0.34499207,0.7204307,0.83867514,,79000,eval,0.83867514
0.0023607973,0.18182735,0.29986724,0.41797554,0.41797554,80000,train,
0.007691575,0.34668332,0.7312621,0.84923446,,80000,eval,0.84923446
0.0024189735,0.18296272,0.30391175,0.42174852,0.42174852,81000,train,
0.007286933,0.33501822,0.6993649,0.8170663,,81000,eval,0.8170663
0.0024021473,0.18328659,0.30339414,0.42096055,0.42096055,82000,train,
0.00756164,0.3428702,0.72095215,0.8383833,,82000,eval,0.8383833
0.0023749568,0.18247618,0.30122402,0.41852075,0.41852075,83000,train,
0.007938409,0.34267947,0.7396,0.85676175,,83000,eval,0.85676175
0.0023923554,0.18248533,0.30210307,0.4191302,0.4191302,84000,train,
0.0077587184,0.34209114,0.7300271,0.8469195,,84000,eval,0.8469195
0.0023951964,0.1824838,0.30224377,0.41900256,0.41900256,85000,train,
0.0070608053,0.33858758,0.69162786,0.80825216,,85000,eval,0.80825216
0.0023821278,0.18160835,0.30071467,0.4172055,0.4172055,86000,train,
0.0074916473,0.33890042,0.71348274,0.8298402,,86000,eval,0.8298402
0.0023682115,0.1815006,0.29991102,0.4161352,0.4161352,87000,train,
0.00712736,0.33413556,0.69050366,0.8065945,,87000,eval,0.8065945
