,auc_1,binary_accuracy,loss,lr,recall_1,val_auc_1,val_binary_accuracy,val_loss,val_lr,val_recall_1
0,0.8665176630020142,0.7680878043174744,0.44476866722106934,0.008876104839146137,0.7680878043174744,0.894920289516449,0.8362776041030884,0.4872116446495056,0.009989269077777863,0.8362776041030884
1,0.9434739351272583,0.8652560710906982,0.29613760113716125,0.009968680329620838,0.8652560710906982,0.8389027714729309,0.7769716382026672,0.5630802512168884,0.009941808879375458,0.7769716382026672
2,0.9541072249412537,0.883475124835968,0.26508668065071106,0.009902320802211761,0.883475124835968,0.9249983429908752,0.855520486831665,0.3494648039340973,0.00985669530928135,0.855520486831665
3,0.9602183699607849,0.8935209512710571,0.24623815715312958,0.009798659011721611,0.8935209512710571,0.9626954793930054,0.892428994178772,0.2511790990829468,0.009734624065458775,0.892428994178772
4,0.9638217091560364,0.9000315070152283,0.23264405131340027,0.009658470749855042,0.9000315070152283,0.9622930884361267,0.8955835700035095,0.24045808613300323,0.009576529264450073,0.8955835700035095
5,0.9666991829872131,0.9058945178985596,0.22241279482841492,0.009482834488153458,0.9058945178985596,0.9666761159896851,0.9091482758522034,0.21557626128196716,0.00938356202095747,0.9091482758522034
6,0.9700614213943481,0.9143652319908142,0.2078876942396164,0.009273072704672813,0.9143652319908142,0.9694539904594421,0.9154574275016785,0.20609764754772186,0.009157293476164341,0.9154574275016785
7,0.9718107581138611,0.9163603782653809,0.20101022720336914,0.009030798450112343,0.9163603782653809,0.9618202447891235,0.8935331106185913,0.23591236770153046,0.008899333886802197,0.8935331106185913
8,0.9739993214607239,0.9196856617927551,0.19247344136238098,0.008757843635976315,0.9196856617927551,0.9692657589912415,0.9108833074569702,0.21231535077095032,0.008611713536083698,0.9108833074569702
9,0.9753825068473816,0.9228534698486328,0.18760520219802856,0.008456292562186718,0.9228534698486328,0.9751739501953125,0.9235015511512756,0.19039911031723022,0.008296618238091469,0.9235015511512756
10,0.9772577285766602,0.9279989004135132,0.17702168226242065,0.008128434419631958,0.9279989004135132,0.9578931927680969,0.9088327884674072,0.2500077784061432,0.007956467568874359,0.9088327884674072
11,0.9786710739135742,0.9315866827964783,0.16947221755981445,0.007776766549795866,0.9315866827964783,0.9558727741241455,0.8828075528144836,0.2569025158882141,0.007593753281980753,0.8828075528144836
12,0.9793280363082886,0.9330217838287354,0.1655171513557434,0.007403965573757887,0.9330217838287354,0.9777390360832214,0.9238170385360718,0.17924685776233673,0.0072113280184566975,0.9238170385360718
13,0.9799262881278992,0.9339843988418579,0.1631084680557251,0.007012870628386736,0.9339843988418579,0.9792643189430237,0.9309148192405701,0.168643519282341,0.006812086794525385,0.9309148192405701
14,0.9806283116340637,0.9378871917724609,0.15714316070079803,0.006606455892324448,0.9378871917724609,0.9804331660270691,0.9291797876358032,0.16927452385425568,0.00639903312548995,0.9291797876358032
