,auc_2,binary_accuracy,loss,lr,recall_2,val_auc_2,val_binary_accuracy,val_loss,val_lr,val_recall_2
1,0.9428210854530334,0.8656410574913025,0.29855969548225403,0.009968680329620838,0.8656410574913025,0.8981667160987854,0.8078864216804504,0.400652676820755,0.009941808879375458,0.8078864216804504
2,0.9552609920501709,0.8866603374481201,0.26392605900764465,0.009902320802211761,0.8866603374481201,0.8783571124076843,0.8260252475738525,0.607527494430542,0.00985669530928135,0.8260252475738525
3,0.9575826525688171,0.8921558260917664,0.2561695873737335,0.009798659011721611,0.8921558260917664,0.9616677761077881,0.896214485168457,0.2407364398241043,0.009734624065458775,0.896214485168457
4,0.9640141725540161,0.9011515974998474,0.23232422769069672,0.009658470749855042,0.9011515974998474,0.9085720777511597,0.8580441474914551,0.4629198908805847,0.009576529264450073,0.8580441474914551
5,0.9668506979942322,0.9075396656990051,0.2217077612876892,0.009482834488153458,0.9075396656990051,0.9345276355743408,0.8717665672302246,0.3204311430454254,0.00938356202095747,0.8717665672302246
6,0.9705283045768738,0.9138926863670349,0.20718495547771454,0.009273072704672813,0.9138926863670349,0.9593340754508972,0.8965299725532532,0.2480158507823944,0.009157293476164341,0.8965299725532532
7,0.9738582968711853,0.9198431968688965,0.1912582963705063,0.009030798450112343,0.9198431968688965,0.9605165719985962,0.8965299725532532,0.24280911684036255,0.008899333886802197,0.8965299725532532
8,0.9777676463127136,0.9288564324378967,0.17484092712402344,0.008757843635976315,0.9288564324378967,0.9711628556251526,0.9111987352371216,0.2102183848619461,0.008611713536083698,0.9111987352371216
9,0.9793753027915955,0.9324617385864258,0.1660367101430893,0.008456292562186718,0.9324617385864258,0.9561078548431396,0.886435329914093,0.25634729862213135,0.008296618238091469,0.886435329914093
10,0.9820411801338196,0.9384822845458984,0.15258671343326569,0.008128434419631958,0.9384822845458984,0.9736164808273315,0.9214510917663574,0.19278766214847565,0.007956467568874359,0.9214510917663574
11,0.9826330542564392,0.9424726366996765,0.1460055112838745,0.007776766549795866,0.9424726366996765,0.9387357831001282,0.8630914688110352,0.3112589716911316,0.007593753281980753,0.8630914688110352
12,0.9842243194580078,0.9449403285980225,0.13831213116645813,0.007403965573757887,0.9449403285980225,0.9682709574699402,0.9089905619621277,0.21261906623840332,0.0072113280184566975,0.9089905619621277
13,0.9851431250572205,0.9500682353973389,0.13077226281166077,0.007012870628386736,0.9500682353973389,0.9853472113609314,0.9470031261444092,0.13875381648540497,0.006812086794525385,0.9470031261444092
14,0.9855970144271851,0.9502607583999634,0.12709937989711761,0.006606455892324448,0.9502607583999634,0.9858578443527222,0.9473186135292053,0.13746154308319092,0.00639903312548995,0.9473186135292053
