,auc,binary_accuracy,loss,recall,val_auc,val_binary_accuracy,val_loss,val_recall
0,0.9021225571632385,0.8072758913040161,0.41598230600357056,0.8072758913040161,0.7977198362350464,0.7245781421661377,0.5675045847892761,0.7245781421661377
1,0.9580906629562378,0.886817991733551,0.27604010701179504,0.886817991733551,0.9732170701026917,0.9099045991897583,0.2299363762140274,0.9099045991897583
2,0.9674845337867737,0.905407190322876,0.23507705330848694,0.905407190322876,0.9427806735038757,0.8636830449104309,0.30171096324920654,0.8636830449104309
3,0.9733294248580933,0.9168052673339844,0.20854149758815765,0.9168052673339844,0.9792070388793945,0.9303008317947388,0.17838622629642487,0.9303008317947388
4,0.9759485125541687,0.9234908819198608,0.19369935989379883,0.9234908819198608,0.978356122970581,0.9276595711708069,0.18445207178592682,0.9276595711708069
5,0.9782196283340454,0.9287741184234619,0.18182474374771118,0.9287741184234619,0.9867514967918396,0.9439471960067749,0.14370320737361908,0.9439471960067749
6,0.9802792072296143,0.9349215626716614,0.17014268040657043,0.9349215626716614,0.9893908500671387,0.9486426711082458,0.13050010800361633,0.9486426711082458
7,0.9815601706504822,0.9380523562431335,0.16278813779354095,0.9380523562431335,0.9838740229606628,0.9376375675201416,0.15203170478343964,0.9376375675201416
8,0.9830678701400757,0.9432051777839661,0.15229615569114685,0.9432051777839661,0.9804441332817078,0.936170220375061,0.15579229593276978,0.936170220375061
9,0.9839290380477905,0.9435638785362244,0.14832480251789093,0.9435638785362244,0.9916023015975952,0.9558327198028564,0.11612667143344879,0.9558327198028564
10,0.9850068688392639,0.946417510509491,0.14200828969478607,0.946417510509491,0.9920088648796082,0.9589141607284546,0.10846023261547089,0.9589141607284546
11,0.9853822588920593,0.948390543460846,0.13861462473869324,0.948390543460846,0.9834626317024231,0.9448275566101074,0.1437636911869049,0.9448275566101074
12,0.9862052202224731,0.9506734609603882,0.13329334557056427,0.9506734609603882,0.9743527770042419,0.9351430535316467,0.18238016963005066,0.9351430535316467
13,0.9867194294929504,0.951341986656189,0.12966004014015198,0.951341986656189,0.9914501905441284,0.957593560218811,0.10568249225616455,0.957593560218811
14,0.9877715110778809,0.9542118906974792,0.12407586723566055,0.9542118906974792,0.9908462762832642,0.9589141607284546,0.10512780398130417,0.9589141607284546
15,0.9873924255371094,0.9537064433097839,0.12542688846588135,0.9537064433097839,0.9908194541931152,0.9597945809364319,0.10695318877696991,0.9597945809364319
16,0.9889297485351562,0.957391619682312,0.11623239517211914,0.957391619682312,0.9923230409622192,0.9633162021636963,0.09736426919698715,0.9633162021636963
17,0.9877698421478271,0.958076536655426,0.11914493888616562,0.958076536655426,0.9930580854415894,0.968158483505249,0.09118758141994476,0.968158483505249
18,0.9884690046310425,0.9586635231971741,0.11535640805959702,0.9586635231971741,0.9917845129966736,0.9656639695167542,0.09759517759084702,0.9656639695167542
19,0.9894511103630066,0.9612399339675903,0.10957909375429153,0.9612399339675903,0.9910855293273926,0.9614086747169495,0.10099662095308304,0.9614086747169495
20,0.9896363019943237,0.9611257910728455,0.1090802475810051,0.9611257910728455,0.992374837398529,0.9665443897247314,0.08670821785926819,0.9665443897247314
21,0.9898491501808167,0.9613377451896667,0.10808328539133072,0.9613377451896667,0.9936577081680298,0.968011736869812,0.0815788209438324,0.968011736869812
22,0.9900245070457458,0.9625444412231445,0.10488441586494446,0.9625444412231445,0.9909264445304871,0.9631694555282593,0.09731614589691162,0.9631694555282593
23,0.9897913336753845,0.9639630913734436,0.10548602789640427,0.9639630913734436,0.9932908415794373,0.9690389037132263,0.08445394784212112,0.9690389037132263
24,0.9908956289291382,0.9651697278022766,0.09960851073265076,0.9651697278022766,0.9942625761032104,0.9738811254501343,0.07139567285776138,0.9738811254501343
25,0.9909950494766235,0.9665231704711914,0.09825076907873154,0.9665231704711914,0.9939436912536621,0.9716801047325134,0.07554817944765091,0.9716801047325134
26,0.991180419921875,0.967012345790863,0.09516188502311707,0.967012345790863,0.9927330613136292,0.9696258306503296,0.08546265959739685,0.9696258306503296
27,0.9910870790481567,0.9658545851707458,0.09733258187770844,0.9658545851707458,0.9934276342391968,0.9700660109519958,0.07941307872533798,0.9700660109519958
28,0.9911532402038574,0.9675341844558716,0.09506533294916153,0.9675341844558716,0.99242103099823,0.9706529974937439,0.07937610149383545,0.9706529974937439
29,0.9911513328552246,0.967631995677948,0.0951765850186348,0.967631995677948,0.9936726689338684,0.9728540182113647,0.07880862057209015,0.9728540182113647
