loss,compile_metrics,epoch,step,auc_5,binary_accuracy,lr,recall_5
0.7342871427536011,0,0,0,0.6455078125,0.53125,0.0010201793629676104,0.53125
0.5809862613677979,0,0,100,0.7654767632484436,0.6943069100379944,0.002029147930443287,0.6943069100379944
0.563511073589325,0,0,200,0.7838255167007446,0.7086442708969116,0.003038116730749607,0.7086442708969116
0.5357555150985718,0,0,300,0.8098350167274475,0.7259136438369751,0.004047085531055927,0.7259136438369751
0.5121620297431946,0,0,400,0.8278629779815674,0.7401807904243469,0.0050560543313622475,0.7401807904243469
0.49349290132522583,0,0,500,0.8409356474876404,0.751122772693634,0.006002993322908878,0.751122772693634
0.4774899482727051,0,0,600,0.8515326380729675,0.7619592547416687,0.006668047979474068,0.7619592547416687
0.46308884024620056,0,0,700,0.8606166243553162,0.769971489906311,0.007143326569348574,0.769971489906311
0.45141875743865967,0,0,800,0.8679603934288025,0.7765293121337891,0.0074998922646045685,0.7765293121337891
0.4412921667098999,0,0,900,0.8741511106491089,0.78298419713974,0.007777264807373285,0.78298419713974
0.43368008732795715,0,0,1000,0.8785234689712524,0.7868069410324097,0.007999165914952755,0.7868069410324097
0.426026314496994,0,0,1100,0.882989764213562,0.7915531396865845,0.008180694654583931,0.7915531396865845
0.4206484258174896,0,0,1200,0.8860607743263245,0.7950665950775146,0.008331931196153164,0.7950665950775146
0.41425999999046326,0,0,1300,0.8896906971931458,0.7993130087852478,0.008459847420454025,0.7993130087852478
0.4088799059391022,0,0,1400,0.8926795125007629,0.8025963306427002,0.008569429628551006,0.8025963306427002
0.40426549315452576,0,0,1500,0.8951285481452942,0.8053172826766968,0.008664336055517197,0.8053172826766968
0.3993931710720062,0,0,1600,0.8976913690567017,0.8078544735908508,0.008747310377657413,0.8078544735908508
0.3951229751110077,0,0,1700,0.8998107314109802,0.8100565671920776,0.00882044155150652,0.8100565671920776
0.3980165123939514,0,1,1786,0.9013671875,0.8125,0.009989270009100437,0.8125
0.30699673295021057,0,1,1886,0.940002977848053,0.8669554591178894,0.009988450445234776,0.8669554591178894
0.3082292079925537,0,1,1986,0.9390769004821777,0.8630285859107971,0.00998759176582098,0.8630285859107971
0.313334584236145,0,1,2086,0.9370214343070984,0.8589078187942505,0.009986692108213902,0.8589078187942505
0.31012845039367676,0,1,2186,0.9384884834289551,0.8597257137298584,0.009985753335058689,0.8597257137298584
0.31329378485679626,0,1,2286,0.9372477531433105,0.857410192489624,0.009984772652387619,0.857410192489624
0.3108521103858948,0,1,2386,0.9381841421127319,0.8587770462036133,0.009983756579458714,0.8587770462036133
0.3077531158924103,0,1,2486,0.9393723607063293,0.8599768280982971,0.00998269859701395,0.8599768280982971
0.3080275058746338,0,1,2586,0.9392209053039551,0.8596286177635193,0.009981599636375904,0.8596286177635193
0.30816707015037537,0,1,2686,0.9390615820884705,0.8600513339042664,0.009980465285480022,0.8600513339042664
0.3092491924762726,0,1,2786,0.9385790824890137,0.8593906164169312,0.009979289956390858,0.8593906164169312
0.3085249960422516,0,1,2886,0.9389052391052246,0.8593608140945435,0.00997807364910841,0.8593608140945435
0.3081655204296112,0,1,2986,0.9390773773193359,0.8598824143409729,0.009976816363632679,0.8598824143409729
0.3075424134731293,0,1,3086,0.9393045902252197,0.8605639934539795,0.009975519962608814,0.8605639934539795
0.3064477741718292,0,1,3186,0.9396854639053345,0.8607913851737976,0.00997418537735939,0.8607913851737976
0.30562669038772583,0,1,3286,0.9400075078010559,0.8606553673744202,0.009972812607884407,0.8606553673744202
0.3043830990791321,0,1,3386,0.9404461979866028,0.8612390756607056,0.00997139886021614,0.8612390756607056
0.30353593826293945,0,1,3486,0.94072425365448,0.8617357611656189,0.009969944134354591,0.8617357611656189
0.1249554306268692,0,2,3572,0.9970703125,0.96875,0.009941752068698406,0.96875
0.272237628698349,0,2,3672,0.9523547291755676,0.8765470385551453,0.009939872659742832,0.8765470385551453
0.27372708916664124,0,2,3772,0.9520372748374939,0.8753109574317932,0.00993795320391655,0.8753109574317932
0.2787865698337555,0,2,3872,0.9496296644210815,0.8738579750061035,0.009935997426509857,0.8738579750061035
0.2800056040287018,0,2,3972,0.9491788148880005,0.8752337694168091,0.009934000670909882,0.8752337694168091
0.27981752157211304,0,2,4072,0.9492594599723816,0.8749376535415649,0.009931964799761772,0.8749376535415649
0.2789667546749115,0,2,4172,0.9495573043823242,0.8755719661712646,0.009929889813065529,0.8755719661712646
0.2744409143924713,0,2,4272,0.9512193202972412,0.8780759572982788,0.009927774779498577,0.8780759572982788
0.2740814983844757,0,2,4372,0.9512213468551636,0.8780820965766907,0.009925620630383492,0.8780820965766907
0.273669958114624,0,2,4472,0.9512861371040344,0.8779481053352356,0.009923430159687996,0.8779481053352356
