loss,compile_metrics,epoch,step,auc,binary_accuracy,lr,recall
0.6912987232208252,0,0,0,0.53173828125,0.53125,0.0010201793629676104,0.53125
53.14948272705078,0,0,100,0.6703868508338928,0.6670792102813721,0.002029147930443287,0.6670792102813721
27.024948120117188,0,0,200,0.6676697731018066,0.6672885417938232,0.003038116730749607,0.6672885417938232
18.257030487060547,0,0,300,0.6706609129905701,0.6701619625091553,0.004047085531055927,0.6701619625091553
13.862530708312988,0,0,400,0.6717207431793213,0.6710567474365234,0.0050560543313622475,0.6710567474365234
11.221641540527344,0,0,500,0.6722491383552551,0.672529935836792,0.006002993322908878,0.672529935836792
9.456563949584961,0,0,600,0.6785478591918945,0.6768926978111267,0.006668047979474068,0.6768926978111267
8.197354316711426,0,0,700,0.6787840127944946,0.6768901348114014,0.007143326569348574,0.6768901348114014
7.252835273742676,0,0,800,0.677799642086029,0.6769272685050964,0.0074998922646045685,0.6769272685050964
6.518235683441162,0,0,900,0.677041232585907,0.6763318777084351,0.007777264807373285,0.6763318777084351
5.930363178253174,0,0,1000,0.6763646006584167,0.675980269908905,0.007999165914952755,0.675980269908905
5.4495649337768555,0,0,1100,0.6762740015983582,0.6752384305000305,0.008180694654583931,0.6752384305000305
5.04828405380249,0,0,1200,0.6759306192398071,0.6755568385124207,0.008331931196153164,0.6755568385124207
4.708674430847168,0,0,1300,0.6760055422782898,0.6756821870803833,0.008459847420454025,0.6756821870803833
4.417619705200195,0,0,1400,0.6760016083717346,0.6757003664970398,0.008569429628551006,0.6757003664970398
4.164102077484131,0,0,1500,0.6782353520393372,0.6773609519004822,0.008664336055517197,0.6773609519004822
3.9433557987213135,0,0,1600,0.6780868768692017,0.6774086356163025,0.008747310377657413,0.6774086356163025
3.748152494430542,0,0,1700,0.6785356998443604,0.6779468059539795,0.00882044155150652,0.6779468059539795
0.5391157865524292,0,1,1786,0.796875,0.78125,0.009989270009100437,0.78125
0.6381852030754089,0,1,1886,0.665188729763031,0.666460394859314,0.009988450445234776,0.666460394859314
0.637083888053894,0,1,1986,0.6697205305099487,0.66697758436203,0.00998759176582098,0.66697758436203
0.633711040019989,0,1,2086,0.6742700338363647,0.6717192530632019,0.009986692108213902,0.6717192530632019
0.6335059404373169,0,1,2186,0.6743294596672058,0.6721477508544922,0.009985753335058689,0.6721477508544922
0.633811354637146,0,1,2286,0.6729984879493713,0.6719061732292175,0.009984772652387619,0.6719061732292175
0.6295366287231445,0,1,2386,0.6811617612838745,0.6774126291275024,0.009983756579458714,0.6774126291275024
0.6298300623893738,0,1,2486,0.6809357404708862,0.6768455505371094,0.00998269859701395,0.6768455505371094
0.6298750042915344,0,1,2586,0.6798871159553528,0.6769663095474243,0.009981599636375904,0.6769663095474243
0.6302495002746582,0,1,2686,0.6789641976356506,0.6764705777168274,0.009980465285480022,0.6764705777168274
0.6307264566421509,0,1,2786,0.6779106855392456,0.6758553981781006,0.009979289956390858,0.6758553981781006
0.6312176585197449,0,1,2886,0.6777496337890625,0.6750397086143494,0.00997807364910841,0.6750397086143494
0.6307682394981384,0,1,2986,0.6781538724899292,0.6757389903068542,0.009976816363632679,0.6757389903068542
0.6307664513587952,0,1,3086,0.678054690361023,0.6757302284240723,0.009975519962608814,0.6757302284240723
0.6308000683784485,0,1,3186,0.6778393387794495,0.6757003664970398,0.00997418537735939,0.6757003664970398
0.629602313041687,0,1,3286,0.679985761642456,0.6772984862327576,0.009972812607884407,0.6772984862327576
0.6293742656707764,0,1,3386,0.6801232695579529,0.6776233315467834,0.00997139886021614,0.6776233315467834
0.6290417909622192,0,1,3486,0.6804575324058533,0.67807537317276,0.009969944134354591,0.67807537317276
0.7049887180328369,0,2,3572,0.51171875,0.59375,0.009941752068698406,0.59375
0.6379461884498596,0,2,3672,0.6666710376739502,0.6661509871482849,0.009939872659742832,0.6661509871482849
0.6365171670913696,0,2,3772,0.667648434638977,0.6677549481391907,0.00993795320391655,0.6677549481391907
0.634300172328949,0,2,3872,0.6725114583969116,0.6706810593605042,0.009935997426509857,0.6706810593605042
0.6337980031967163,0,2,3972,0.671668291091919,0.6716022491455078,0.009934000670909882,0.6716022491455078
0.6328604817390442,0,2,4072,0.6728537678718567,0.6727794408798218,0.009931964799761772,0.6727794408798218
0.6298316121101379,0,2,4172,0.6788533926010132,0.6766846776008606,0.009929889813065529,0.6766846776008606
0.6298183798789978,0,2,4272,0.6792164444923401,0.6765781044960022,0.009927774779498577,0.6765781044960022
0.6296461224555969,0,2,4372,0.6784669756889343,0.6769663095474243,0.009925620630383492,0.6769663095474243
0.6301716566085815,0,2,4472,0.6774231195449829,0.6762278079986572,0.009923430159687996,0.6762278079986572
0.6304407715797424,0,2,4572,0.6763660907745361,0.6759490370750427,0.009921197779476643,0.6759490370750427
0.6309085488319397,0,2,4672,0.6760123372077942,0.6752384305000305,0.00991892535239458,0.6752384305000305
0.6305949091911316,0,2,4772,0.6763597726821899,0.6756869554519653,0.00991661474108696,0.6756869554519653
0.6305400133132935,0,2,4872,0.676419734954834,0.6757542490959167,0.009914266876876354,0.6757542490959167
0.6305558085441589,0,2,4972,0.6761898994445801,0.6757450103759766,0.009911877103149891,0.6757450103759766
0.6294723749160767,0,2,5072,0.6783366799354553,0.6771735548973083,0.009909451007843018,0.6771735548973083
0.6292008757591248,0,2,5172,0.6783910393714905,0.677564799785614,0.00990698579698801,0.677564799785614
0.6288611888885498,0,2,5272,0.6789315342903137,0.6779835224151611,0.00990448147058487,0.6779835224151611
