,auc,binary_accuracy,loss,recall,val_auc,val_binary_accuracy,val_loss,val_recall
0,0.6925437450408936,0.6476616859436035,0.6687215566635132,0.6425659656524658,0.8055945634841919,0.7206162810325623,0.5534757375717163,0.7226705551147461
1,0.7712356448173523,0.6920310854911804,0.5767226815223694,0.6920555830001831,0.8257973790168762,0.7402054071426392,0.5084035992622375,0.730594277381897
2,0.8259079456329346,0.7303183078765869,0.5044741630554199,0.7306036353111267,0.8736616969108582,0.7807043194770813,0.43467703461647034,0.7829787135124207
3,0.879468560218811,0.7797019481658936,0.42664825916290283,0.7799139022827148,0.8997635245323181,0.8007336854934692,0.39180028438568115,0.8011738657951355
4,0.9093410968780518,0.8150458335876465,0.37559157609939575,0.8149071931838989,0.9107216596603394,0.8134262561798096,0.37773820757865906,0.8145267963409424
5,0.9231301546096802,0.832942008972168,0.34865710139274597,0.8326484560966492,0.9356184601783752,0.8561261892318726,0.3216486871242523,0.8544387221336365
6,0.9316702485084534,0.8432230949401855,0.3299052119255066,0.8429540395736694,0.9387692213058472,0.856052815914154,0.3159177899360657,0.8551723957061768
7,0.9385395646095276,0.8543766140937805,0.3139963150024414,0.8541890978813171,0.9262706637382507,0.8396185040473938,0.3493950068950653,0.8403521776199341
8,0.9442664384841919,0.8627662062644958,0.29986920952796936,0.8626846671104431,0.9515905380249023,0.8783565759658813,0.28080087900161743,0.8789435029029846
9,0.9472296833992004,0.8672178387641907,0.292196124792099,0.8675113320350647,0.9448152780532837,0.8634629249572754,0.3016865849494934,0.8679383993148804
10,0.9502097368240356,0.8720526099205017,0.2842554450035095,0.872126042842865,0.948142945766449,0.8691122531890869,0.29651084542274475,0.8694057464599609
11,0.9532755613327026,0.8760232329368591,0.2755739986896515,0.8757949471473694,0.9577963352203369,0.8820983171463013,0.26270052790641785,0.8831987977027893
12,0.9567288756370544,0.8809395432472229,0.26544058322906494,0.8811433911323547,0.9583680033683777,0.8856199383735657,0.262302428483963,0.8852531313896179
13,0.9588223695755005,0.8846166133880615,0.2590230405330658,0.88463294506073,0.9633768200874329,0.8912692666053772,0.2446652501821518,0.8915627002716064
14,0.961043119430542,0.8877474665641785,0.2521001696586609,0.8877148628234863,0.9633930325508118,0.8952311277389526,0.24540415406227112,0.8943507075309753
15,0.9623816013336182,0.8890845775604248,0.24765066802501678,0.8892313241958618,0.9656614661216736,0.8961115479469299,0.23680858314037323,0.8971386551856995
16,0.9634109735488892,0.8916120529174805,0.24452932178974152,0.8916446566581726,0.9641056656837463,0.8888481259346008,0.24427907168865204,0.8893616795539856
17,0.9655863046646118,0.8962593078613281,0.23723870515823364,0.8965691328048706,0.9666158556938171,0.8937637805938721,0.23355890810489655,0.8936170339584351
18,0.9667730331420898,0.8974660038948059,0.23308590054512024,0.8975638151168823,0.9700614213943481,0.9110051393508911,0.22138918936252594,0.9112252593040466
19,0.9678618311882019,0.8996673226356506,0.22929398715496063,0.8995043039321899,0.970903217792511,0.903741717338562,0.2177787721157074,0.9034482836723328
20,0.9691094756126404,0.9009555578231812,0.22464682161808014,0.900776207447052,0.9708560109138489,0.9062362313270569,0.22040565311908722,0.9065297245979309
21,0.9706001877784729,0.9043717384338379,0.21924957633018494,0.9043798446655273,0.9665639996528625,0.8985326290130615,0.23508697748184204,0.898459255695343
22,0.9713205099105835,0.9042657017707825,0.2165410816669464,0.9043472409248352,0.971696138381958,0.909317672252655,0.21489346027374268,0.909317672252655
23,0.9728876352310181,0.9078531265258789,0.21059055626392365,0.907673716545105,0.9432225227355957,0.8568598628044128,0.3360207676887512,0.8567864894866943
24,0.9736615419387817,0.9093043804168701,0.207627534866333,0.9092391729354858,0.9695661067962646,0.9041085839271545,0.2260560244321823,0.903888463973999
25,0.9742664694786072,0.9102093577384949,0.20519019663333893,0.9102827310562134,0.9756479859352112,0.9142333269119263,0.199262335896492,0.9150403738021851
26,0.9757742881774902,0.9143103957176208,0.19882124662399292,0.914408266544342,0.9738131165504456,0.9099045991897583,0.20771189033985138,0.9103448390960693
27,0.9760005474090576,0.9138293862342834,0.19820983707904816,0.9137886166572571,0.9742543697357178,0.909170925617218,0.2056659460067749,0.909464418888092
28,0.9758964776992798,0.9130384922027588,0.1985587775707245,0.9130058884620667,0.9775158166885376,0.9167277812957764,0.19205926358699799,0.9165077209472656
29,0.9770396947860718,0.9136744737625122,0.19368885457515717,0.9138375520706177,0.9772418141365051,0.9207630157470703,0.19280816614627838,0.9209097623825073
30,0.977443516254425,0.916854202747345,0.19207844138145447,0.9167563319206238,0.9814662337303162,0.9250916838645935,0.17404140532016754,0.9247248768806458
31,0.9778323173522949,0.9169846177101135,0.19001255929470062,0.9171150922775269,0.9780109524726868,0.918635368347168,0.18936002254486084,0.9185619950294495
32,0.9792914390563965,0.9209470748901367,0.18408405780792236,0.9209307432174683,0.9757153987884521,0.9081438183784485,0.19873344898223877,0.9082905650138855
33,0.979364275932312,0.9200013279914856,0.1834890991449356,0.9200176000595093,0.9815471172332764,0.9281731247901917,0.1741134226322174,0.9280997514724731
34,0.9795196056365967,0.9206616878509521,0.1830727458000183,0.9207839965820312,0.9759335517883301,0.9115186929702759,0.19847509264945984,0.9116654396057129
35,0.9801961779594421,0.9223901629447937,0.1800401359796524,0.9223657250404358,0.9830095767974854,0.9277329444885254,0.16751287877559662,0.9276595711708069
