frcnn_box,frcnn_cls,mask,model,rpn_box,rpn_score,total,training,step,mode
0.21211025,0.07826471,0.18947873,0.54607135,0.057343494,0.008874118,0.7278151,0.7278151,10100,train
0.21345547,0.07734318,0.21044457,0.55991364,0.05125242,0.0074180407,0.74080515,0.74080515,10200,train
0.20054543,0.07383771,0.19070388,0.53820944,0.065393664,0.0077289366,0.7181745,0.7181745,10300,train
0.20626782,0.076900974,0.19774038,0.54561824,0.05730053,0.0074085123,0.72463006,0.72463006,10400,train
0.200902,0.07640455,0.1944924,0.53830576,0.05852567,0.007981059,0.7163787,0.7163787,10500,train
0.20369658,0.07541367,0.19551034,0.53228414,0.05039765,0.0072660553,0.7094384,0.7094384,10600,train
