frcnn_box,frcnn_cls,mask,model,rpn_box,rpn_score,total,training,step,mode,validation
0.22200364,0.08098567,0.23912534,0.6069794,0.056215934,0.00864878,0.81643546,0.81643546,8000,train,
,,,,,,,,8000,eval,0.0
0.21524931,0.078662924,0.21871729,0.5744614,0.053480137,0.008352366,0.7722936,0.7722936,9000,train,
,,,,,,,,9000,eval,0.0
