frcnn_box,frcnn_cls,mask,model,rpn_box,rpn_score,total,training,step,mode
0.413595,0.10654696,0.467692,1.1284344,0.08484886,0.055750992,1.4588909,1.4588909,1000,train
0.32917017,0.09931871,0.40241882,0.91989887,0.0727437,0.016247524,1.2285788,1.2285788,2000,train
0.28305215,0.093921006,0.36289844,0.8171493,0.06529911,0.011978912,1.1040679,1.1040679,3000,train
0.2669549,0.0917007,0.3320901,0.76208127,0.0605787,0.010756576,1.0297486,1.0297486,4000,train
0.2530752,0.089374,0.28079402,0.6922954,0.059157554,0.009893657,0.9428502,0.9428502,5000,train
0.2415024,0.08537275,0.2613364,0.6580334,0.060336873,0.009484465,0.89323705,0.89323705,6000,train
0.23107886,0.08319784,0.25515044,0.6364169,0.057770994,0.009218297,0.8574743,0.8574743,7000,train
0.22707693,0.082626455,0.26340133,0.6366662,0.05494347,0.008618276,0.84491074,0.84491074,8000,train
0.21774149,0.07939149,0.23262121,0.59260726,0.054498587,0.008354239,0.788825,0.788825,9000,train
0.21283893,0.078012414,0.21334192,0.5669084,0.05470132,0.0080137355,0.752202,0.752202,10000,train
