frcnn_box,frcnn_cls,mask,model,rpn_box,rpn_score,total,training,step,mode
0.21163073,0.076470904,0.192075,0.54140484,0.052849263,0.008378835,0.7230963,0.7230963,10100,train
0.20784624,0.07500411,0.19587637,0.5375838,0.050967347,0.00788967,0.7182636,0.7182636,10200,train
0.21462971,0.07880421,0.21248728,0.56788766,0.053868774,0.008097867,0.74769175,0.74769175,10300,train
0.20307526,0.07819444,0.19953841,0.54919034,0.060275283,0.008106891,0.72836304,0.72836304,10400,train
0.20236261,0.075065084,0.19991063,0.5448669,0.059154354,0.0083741555,0.7230783,0.7230783,10500,train
